model,poisson_dev_test,rmse_test
XGB Poisson (baseline),0.30557167530059814,0.23602943122386932
XGB Poisson (ultra-tuned),0.30547040700912476,0.23596210777759552
XGB Poisson (tail-weighted),0.3056192100048065,0.2358843833208084
XGB Tweedie,0.30550676584243774,0.23603945970535278
